sig_cutted,sig_cutted2
745.9919,55.70406
726.0527,57.83391
640.0455,55.20382
536.0515,53.57081
458.1347,51.80198
359.2461,48.40526
309.0383,47.38605
249.7196,43.79473
254.4402,41.87531
364.3318,43.80487
566.4358,48.14026
829.8704,51.95966
1144.617,60.45545
1382.63,65.97098
1484.313,69.7282
1394.017,67.16008
1242.463,62.63558
988.326,57.57707
764.064,49.56668
533.5887,41.73707
372.4773,36.01804
270.2602,30.73423
191.5847,25.52853
155.2645,23.76609
144.2633,20.32604
143.5888,20.89602
161.2996,22.94661
176.6712,24.47083
185.5242,28.42313
192.3217,30.49135
205.4205,33.44425
191.8467,35.10718
189.6629,36.82086
187.4095,38.43409
186.0706,40.32782
185.7736,41.82667
201.3425,43.00184
211.576,43.88965
231.3894,44.18344
248.3953,44.3615
262.8512,43.96548
268.6217,44.06738
261.7925,43.46225
252.3195,42.93899
239.6843,42.80987
223.7213,41.85098
220.6191,41.35479
222.0792,41.00106
225.9751,41.04758
235.8742,41.51792
243.9409,42.50375
243.6505,43.63364
243.4124,44.14559
238.4474,45.15878
229.7959,45.5206
229.4948,45.49417
232.3314,45.87061
249.2994,45.92699
274.7669,46.60065
311.8887,47.83706
350.8312,48.53095
386.8329,49.42349
406.3663,49.98679
414.4929,50.02863
411.2276,49.8045
385.7062,48.72711
372.6805,48.99347
360.0215,48.9193
364.9406,49.27206
387.3724,50.85947
423.7575,52.52864
462.1311,53.62144
493.4299,54.52813
511.739,54.86341
512.1498,54.11338
496.0247,53.36507
472.6681,52.75507
451.5392,51.90616
438.0866,51.80877
436.0221,51.67338
426.1354,50.27174
405.8193,47.07069
378.9843,43.69051
322.3184,37.82287
249.5393,30.47379
195.9585,24.75244
151.2029,21.39663
120.3631,18.77577
114.5986,18.79568
125.3141,21.75738
131.9156,23.52345
132.394,25.19014
132.0016,25.60991
124.6596,25.52249
137.3653,24.92665
175.644,25.27242
206.8291,27.61223
234.7268,29.78818
287.5068,32.78609
249.7587,34.41705
229.3128,33.28173
208.0224,33.58303
178.2747,31.47184
152.3989,28.35181
179.954,29.35539
162.4908,27.17664
178.4834,28.31216
